RegioCode,Landcode,Naam,GGD regio,Veiligheidsregio,Veiligheidsregio Code,Provincie,Landsdeel,Schoolregio,Opp land km2,Type
GM0000,NL,(niet gedefinieerd),,,,,,,0,Gemeente
GM1680,NL,Aa en Hunze,GGD Drenthe,Drenthe,VR03      ,Drenthe,Noord-Nederland,Noord,276,Gemeente
GM0358,NL,Aalsmeer,GGD Amsterdam,Amsterdam-Amstelland,VR13      ,Noord-Holland,West-Nederland,Noord,20,Gemeente
GM0197,NL,Aalten,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,97,Gemeente
GM0059,NL,Achtkarspelen,GGD Fryslân,Fryslân,VR02      ,Friesland,Noord-Nederland,Noord,102,Gemeente
GM0482,NL,Alblasserdam,GGD Zuid-Holland Zuid,Zuid-Holland-Zuid,VR18      ,Zuid-Holland,West-Nederland,Midden,9,Gemeente
GM0613,NL,Albrandswaard,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,22,Gemeente
GM0361,NL,Alkmaar,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,110,Gemeente
GM0141,NL,Almelo,GGD Regio Twente,Twente,VR05      ,Overijssel,Oost-Nederland,Noord,67,Gemeente
GM0034,NL,Almere,GGD Flevoland,Flevoland,VR25      ,Flevoland,Oost-Nederland,Noord,129,Gemeente
GM0484,NL,Alphen aan den Rijn,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,126,Gemeente
GM1723,NL,Alphen-Chaam,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,93,Gemeente
GM1959,NL,Altena,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,201,Gemeente
GM0060,NL,Ameland,GGD Fryslân,Fryslân,VR02      ,Friesland,Noord-Nederland,Noord,59,Gemeente
GM0307,NL,Amersfoort,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,63,Gemeente
GM0362,NL,Amstelveen,GGD Amsterdam,Amsterdam-Amstelland,VR13      ,Noord-Holland,West-Nederland,Noord,41,Gemeente
GM0363,NL,Amsterdam,GGD Amsterdam,Amsterdam-Amstelland,VR13      ,Noord-Holland,West-Nederland,Noord,166,Gemeente
GM0200,NL,Apeldoorn,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,340,Gemeente
GM0202,NL,Arnhem,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Zuid,98,Gemeente
GM0106,NL,Assen,GGD Drenthe,Drenthe,VR03      ,Drenthe,Noord-Nederland,Noord,82,Gemeente
GM0743,NL,Asten,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,70,Gemeente
GM0744,NL,Baarle-Nassau,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,76,Gemeente
GM0308,NL,Baarn,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,33,Gemeente
GM0489,NL,Barendrecht,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,20,Gemeente
GM0203,NL,Barneveld,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Midden,176,Gemeente
GM0888,NL,Beek,GGD Zuid-Limburg,Limburg-Zuid,VR24      ,Limburg,Zuid-Nederland,Zuid,21,Gemeente
GM1954,NL,Beekdaelen,GGD Zuid-Limburg,Limburg-Zuid,VR24      ,Limburg,Zuid-Nederland,Zuid,78,Gemeente
